기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20211229,11740,강동구,514279.41120,503246.26740,9021.17800,2011.96580,548952.59480,473136.84640,481793.80900,537483.41290,238052.01610,49809.90080,141974.02270,46268.09260
20211228,11000,서울시,10857645.36000,10390701.94270,375122.48220,91820.93510,11186194.95280,10551354.00070,11131558.67030,10661992.99550,5963421.68280,1463947.44580,2061421.99260,2438052.24440
20211228,11110,종로구,294580.47510,276181.04710,14691.52800,3707.90000,393931.31080,219134.27460,367563.04140,242450.07060,257246.47040,65935.53290,31201.14880,160109.78870
20211228,11140,중구,301261.35460,271415.81530,18847.13410,10998.40520,434345.13530,196977.72620,405042.65580,227131.85360,308035.82350,82443.19380,30305.85050,195286.77920
20211228,11170,용산구,302917.45900,281338.91300,17110.26500,4468.28110,329247.08320,275604.57770,325511.60420,286778.78400,182374.75470,49609.51890,44804.76100,87960.47480
20211228,11200,성동구,367832.22130,349635.91540,15565.49400,2630.81190,392463.35360,340953.50300,388130.73870,353333.28030,217440.38130,44624.62040,59130.38570,113685.37520
20211228,11215,광진구,372840.33030,349943.76770,20167.05210,2729.51040,389830.47500,346578.81360,354567.20200,385892.56470,168168.56560,32220.37690,74708.25770,61239.93100
20211228,11230,동대문구,363920.50580,338551.71070,23009.90820,2358.88690,374741.03150,349083.70170,358630.72630,367698.91970,179227.84370,30980.92720,70452.73890,77794.17760
20211228,11260,중랑구,353223.47780,346470.43490,5676.19940,1076.84340,387587.55130,313002.59790,322092.71350,375459.73800,153327.00580,25249.03480,90550.95370,37527.01730
20211228,11290,성북구,423933.62700,407420.28920,14308.62910,2204.70870,451747.23010,388786.32180,397061.54090,443127.97420,171833.28050,21836.15890,83001.97890,66995.14270
20211228,11305,강북구,292386.77260,286901.14330,4756.56880,729.06050,317627.75690,266373.29850,271171.56050,307540.49550,176989.21960,13014.96420,117772.18620,46202.06920
20211228,11320,도봉구,274421.33140,270897.92880,2859.38100,664.02160,297133.16820,246328.61460,252672.53020,289956.18950,128456.10250,17515.73950,72361.02900,38579.33400
20211228,11350,노원구,503454.76710,496355.06720,5266.36430,1833.33560,538491.22710,462294.68210,471052.31320,526599.37710,202253.13570,34957.07580,114058.70100,53237.35890
20211228,11380,은평구,436235.32500,429304.82380,5822.96980,1107.53150,483367.89060,380392.32590,392702.71190,467330.04870,165431.56800,30936.59660,99082.59070,35412.38070
20211228,11410,서대문구,372721.23530,350602.92070,18212.56520,3905.74940,386223.72150,365026.55290,379918.05550,367580.64950,211127.83650,43528.13070,70219.89700,97379.80880
20211228,11440,마포구,465155.31630,440938.58380,18898.64170,5318.09070,506783.43610,429499.70460,494083.48190,444492.34080,275563.87580,72753.05060,75189.12160,127621.70360
20211228,11470,양천구,384418.88100,376264.54180,5132.08660,3022.25270,408912.67180,351457.91960,361153.24540,401037.19220,153680.02400,29083.29420,68421.48670,56175.24310
20211228,11500,강서구,556916.87930,540653.90350,9268.26390,6994.71200,575294.93870,536806.33310,541909.55330,567636.39800,252476.75020,70478.52970,115649.18790,66349.03260
20211228,11530,구로구,423177.62800,387590.17410,30474.01320,5113.44070,435369.75550,408718.09990,416178.52590,428176.98670,209275.35290,64939.69090,75457.20840,68878.45360
20211228,11545,금천구,251158.99640,231133.80530,16909.25750,3115.93360,279027.07160,223731.23680,275111.27720,234050.22450,167826.84060,63509.25090,46148.19490,58169.39480
20211228,11560,영등포구,520206.64320,477997.80490,38548.52410,3660.31420,587790.29180,457083.61260,577196.76970,479499.40990,354198.79010,95499.81980,91990.66970,166708.30060
20211228,11590,동작구,390417.18710,374311.82380,13324.05470,2781.30860,419510.65110,354652.93370,362332.84810,410477.42930,163050.62980,31479.40680,65962.62500,65608.59800
20211228,11620,관악구,481693.13060,458532.15240,20110.70750,3050.27080,530463.64250,422469.62860,434930.61970,515094.92410,194011.86410,34391.71530,101811.86580,57808.28300
20211228,11650,서초구,592460.91720,573392.68030,13411.17770,5657.05920,713485.25780,479442.22570,691364.55160,521815.46400,425881.82320,139559.79210,81100.92000,205221.11110
20211228,11680,강남구,858957.01610,830006.42760,20064.53630,8886.05210,1090225.50210,662632.18420,1044202.00320,726639.16810,668289.59650,213385.04130,125404.55580,329499.99940
20211228,11710,송파구,758491.22110,740685.92280,13704.70980,4100.58850,769206.24580,749734.69360,763262.36300,755083.26270,379311.07530,110567.91690,150389.00790,118354.15050
20211228,11740,강동구,514862.66120,504174.34520,8982.45000,1705.86600,547522.96060,475730.06180,483716.03730,537110.24980,240108.80340,49733.90640,143084.68190,47290.21510
20211227,11000,서울시,10841341.82480,10370708.79460,378678.94450,91954.08560,11178103.50290,10539984.54600,11116507.24740,10644795.09430,5871994.71240,1435009.84070,2057232.88040,2379751.99130
20211227,11110,종로구,286109.33580,267858.21480,14777.44460,3473.67640,379637.04350,214996.80180,355561.70320,236500.50190,245592.18460,62261.17160,30416.30430,152914.70870
20211227,11140,중구,294509.12260,264265.35300,18551.36860,11692.40090,425171.42810,191903.62550,395648.59860,222266.63970,299159.06550,79443.19610,30254.80180,189461.06760
20211227,11170,용산구,301790.30440,279722.57730,17092.30730,4975.41990,325978.79160,275801.36650,322811.54120,286775.13530,178068.12090,48338.10070,44537.72320,85192.29700
20211227,11200,성동구,366167.59850,348065.05980,15636.78220,2465.75650,389878.22150,339966.28170,386002.27490,351999.97250,212958.58390,43246.09580,59049.85090,110662.63720
20211227,11215,광진구,373360.87210,350201.99350,20462.36830,2696.51040,390513.86430,349102.27870,356133.49730,385666.13990,167694.08120,32779.05680,73989.61070,60925.41370
20211227,11230,동대문구,364182.93760,338440.89470,23356.80540,2385.23750,373596.82350,353354.30100,359361.66890,367626.70100,175568.51940,30247.06380,69845.62490,75475.83070
20211227,11260,중랑구,356014.61410,349383.67970,5712.73540,918.19890,389669.21950,317584.70850,325910.33140,377517.67310,153239.58820,24897.63290,90859.43110,37482.52420
20211227,11290,성북구,425868.93610,409226.69620,14483.45160,2158.78830,454052.12910,392148.37080,399259.38900,444875.75540,169732.37830,21272.17750,82697.49980,65762.70100
20211227,11305,강북구,294504.16320,288913.16610,4804.69410,786.30300,319712.39790,268773.22560,273996.66030,309152.37950,177446.48340,13219.25910,118860.88340,45366.34090
20211227,11320,도봉구,276377.74390,272735.00220,2774.85890,867.88280,299009.53450,248910.40320,255248.08790,291470.35530,127259.72040,17356.92850,72550.58450,37352.20740
20211227,11350,노원구,505711.12530,498718.53030,5301.82040,1690.77450,541998.04980,465676.86130,473253.88300,528894.86980,199472.45780,34044.51040,113779.62460,51648.32280
